ad_creative_body,Typology 1,Typology 2,Typology 3,Typology 4,sampled_code
Colorado's oil and natural gas industry maintains some of the strongest energy regulations in the country. Our first-in-the-nation regulations go the extra mile to strengthen Colorado communities and reduce our impact to build a reliable energy future.,SA,PA,,,PA
"Did you know 75% of Colorado homes rely on natural gas? We make your reliable, clean energy happen every day.",PA,GC,,,PA
"Pennsylvania consumers need energy infrastructure they can rely on, especially during harsh winter weather. Thanks to pipelines like Mariner East 2, more propane can be delivered to customers across the state to keep their homes warm. Committed2PA Read more on our blog: bit.ly/2PtWzC6",PA,,,,PA
"From heating homes to cooking meals, natural gas pipelines are powering our lives in Yarmouth. How familiar are you with pipeline safety?",PA,,,,PA
NATIONAL POLL: Do you support Americas pipelines? We all depend on this critical infrastructure for affordable energy supplies!,PA,,,,PA
POLL: Pipelines are an essential part of Michigan infrastructure that we all depend on for affordable energy. Do you support Michigans pipelines?,PA,,,,PA
"Regardless of the weather, you can rely on your natgas utility to provide reliable energy.",PA,,,,PA
"If you like affordable, reliable, clean, and secure Texas energy, make your voice heard by voting! Visit www.savetexasoilandgas.com and pledge to vote for economic and energy security.",CA,PA,GC,,PA
NEW POLL: Pipelines are an essential part of American infrastructure that we all depend on for affordable energy supplies. Do you support America's pipelines?,PA,,,,PA
Local energy providers are working around the clock to enhance the strength and resiliency of our electric grid in order to keep energy reliable throughout the COVID-19 crisis.,PA,,,,PA
"Without new pipelines, our streets and highways could be overwhelmed by trucks delivering oil from the Permian Basin to the Gulf Coast. Pipelines help keep trucks off of the road throughout Texas.",PA,,,,PA
"Like this post if you are a natgas utility worker. Thank you for your hard work to fuel PPE production, essential services and our homes!",PA,PB,CA,,PA
Skilled workers are committed to safe operations and construction of Mariner East at all times.,PA,CB,,,PA
"Natural gas is a source of clean, safe and affordable energy that PA can rely on.",GC,PA,,,PA
"During the warm months, we're especially grateful for natural gas. About 35% of natural gas is used to create electricity to power your home and keep you cool.",PA,,,,PA
"From heating homes to cooking meals, natural gas pipelines are powering our lives in Falmouth. How familiar are you with pipeline safety?",PA,,,,PA
"Fracking touches almost every aspect of our lives in Colorado. From keeping our homes and businesses warm on chilly days, to keeping the lights on and powering our stoves and water heaters, fracking is leading the way to a reliable and more affordable energy future.",PA,,,,PA
"Smart pigs, GPS-equipped devices with sensors, are used to survey the inside of the pipeline and report the location of any cracks to engineers at the command center.",PA,,,,PA
Lets make a safe pipeline safer. Build the GreatLakesTunnel.,PA,,,,PA
"Americans dont have to choose between environmental progress and affordable, reliable American energy and the solid jobs that come with developing our nations resources. EnergyConversations",PA,GC,CB,,PA
"From researching climate solutions to strengthening the economy, Americas natural gas and oil companies are ready to create a cleaner, stronger tomorrow. Like our page to join us on this journey.",GA,CA,PA,,PA
"Shutting down Line 5 means shutting down Michigan businesses, higher energy prices, and lower tax revenues for our schools and roads. Sign the letter.",CA,PA,,,PA
Americas abundant supply of natgas could fuel American homes and businesses until at least 2120 thats more than a century!,PA,,,,PA
"As many Michiganders adjust to learning and working from home, local energy providers and grid workers nationwide are working to keep energy reliable and available.",PA,,,,PA
"Natural gas is a source of clean, safe and affordable energy that you can rely on, come what may.",GC,PA,,,PA
"A nationwide ban on natural gas and oil leasing and development could reverse progress toward U.S. energy security, threaten Americas economic growth and cut nearly a million jobs. EnergyConversations",PA,CA,CB,,PA
Natgas utilities like our friends at Southern Company Gas know that feeling comfortable at home is more important than ever. Thats why they are working 24/7/365 to provide reliable energy to millions of Americans. FuelingOurCommunities,PA,,,,PA
"Energy bills are always something businesses have to think about, lets just make sure they dont have to be the first thing they think about as they try to get back on their feet. Visit to learn more. PoweringPeople",PA,,,,PA
We provide enough natural gas to supply 2.8 million Colorado homes every day.,PA,GC,,,PA
"Williams Rocky Mountain Midstream is your reliable energy source, ensuring your home and business stay up and running.",PA,GC,,,PA
Rigorous pipeline safety programs and oversight ensure the safe and reliable transportation and delivery of natural gas across the state.,PA,,,,PA
Williams is leading the energy industry with a commitment to sustainability and environmental stewardship. Learn more about how we are partnering reliability with sustainability to make clean energy happen.,PA,GC,GA,,PA
"Natural gas provides reliable, cleaner and affordable fuel to generate electricity. In fact, its the primary reason the U.S. has reduced carbon dioxide emissions more than any other nation since 2000. EnergyConversations",GC,PA,SA,,PA
"We asked what you like to cook with your natgas stove or oven, and you answered! Click here to see why so many Americans prefer CookingWithGas",PA,,,,PA
Its easy to think that adding one pipeline wont make much of a difference. But youd be surprised at how much energy one pipeline can deliver and just how much would change on our daily lives without it.,PA,,,,PA
Natgas utilities are working behind the scenes to ensure hospitals have reliable energy so that frontline workers can provide the critical care that Americans need. FuelingOurCommunities,PA,,,,PA
"Choose natgas to save on energy costs. Ann chose natural gas, and now she can invest the savings back into her business.",PA,,,,PA
"Colorado's oil and natural gas industry maintains some of the strongest energy regulations in the country. Our first-in-the-nation regulations go the extra mile to strengthen Colorado communities and provide clean energy today as we help build a sustainable, reliable energy future.",SA,PA,GC,,PA
"The Dakota Access Pipeline is currently moving approximately half of the Bakkens oil output per day. Optimizing the existing pipeline by adding horsepower will help allow for further development in the Bakken, economic growth in North Dakota, and the stabilization of costs for the industry and consumers. DAPL DakotaAccess SupportDAPL NorthDakota Bakken Oil Pipelines DakotaAccessPipeline",CA,PA,,,PA
Oil and natural gas do more than just keep the lights on our products also help protect frontline medical workers. Find out how!,PA,PB,,,PA
"Energy bills are always something businesses have to think about, lets just make sure they dont have to be the first thing they think about as they try to get back on their feet. Visit to learn more. PoweringPeople",PA,,,,PA
"Like this post if you are a natgas utility worker. Thank you for your hard work to fuel PPE production, essential services and our homes!",PA,PB,CA,,PB
"From backpacks to binders to calculators, natgas helps fuel the production of the essential supplies that students need, whether they are starting out the school year at home or at school! FuelingOurCommunities",PB,,,,PB
"ExxonMobil, the operator of the Wink to Webster Pipeline, is supplying more than 160,000 gallons of hand sanitizer produced at its refineries to help communities stay safe especially those on the front lines.",PB,,,,PB
Did you know energy workers have a role in protecting health care providers? Learn how here:,PB,,,,PB
"Hand sanitizer was in high demand in San Saba County, so Wink to Webster helped by distributing hospital-grade hand sanitizer produced by ExxonMobil refineries. Just another way we are trying to be a Good Neighbor.",PB,,,,PB
Some of the country's brightest minds are working on cleaner ways to fuel cars and trucks. See how we're fueling the future.,PB,,,,PB
"Energy Transfer is proud to move the energy that powers our supply chain, fuels our connections, and makes life-saving medications possible. Natural gas transported through our underground pipelines heats our homes, fuels our cooking, and is essential in pharmaceutical production. We salute those on the front lines taking care of our families, neighbors and communities.",PA,PB,,,PB
Oil and natural gas do more than just keep the lights on our products also help protect frontline medical workers. Find out how!,PA,PB,,,PB
Did you know Americas oil and gas industry helps develop the plastics in your vehicle that save you money? Find out how today!,PB,,,,PB
"Energy Transfer is proud to move the energy that powers our supply chain, fuels our connections, and makes life-saving medications possible. Isopropyl (rubbing) alcohol in hand sanitizers is derived from propane that is transported through our underground pipelines. We salute those on the front lines taking care of our families, neighbors and communities.",PB,,,,PB
"Energy Transfer is proud to move the energy that fuels our supply chain and powers our connections. Natural gas and petroleum transported through our pipelines fuel pharmaceutical manufacturing and are essential reagents and purifiers in the production of life-saving medications. We salute those on the front lines taking care of our families, neighbors and communities.",PB,,,,PB
"Natgas helps fuel the production of critical supplies like masks, ventilators and hand sanitizer so that frontline workers can safely provide care 24/7/365. FuelingOurCommunities",PB,,,,PB
"From producing personal protective equipment to generating affordable, reliable power, Ohio natural gas & oil has been essential during this public health challenge.",PA,PB,,,PB
Energy Transfer has expanded measures to keep everyone safe & healthy while delivering the energy used to make critical products.,PB,,,,PB
Pipelines help American families make ends meet by keeping the essentials affordable.,PA,PB,,,PB
"Energy Transfer is proud to move the energy that powers our supply chain, fuels our connections, and makes life-saving medical equipment possible. We salute those on the front lines taking care of our families, neighbors and communities.",PB,,,,PB
"Hand sanitizer was in high demand in Lee County, so Wink to Webster helped by distributing hospital-grade hand sanitizer produced by ExxonMobil refineries. Just another way we are trying to be a Good Neighbor.",PB,,,,PB
"Employees at a PA petrochemical plant worked ""all day and night for a month straight, producing tens of millions of pounds of the raw materials that will end up in face masks and surgical gowns worn on the front lines of the pandemic."" Read their story:",PB,,,,PB
New Mexico is the third-largest producer of oil in the United States! Add your name if you're proud to support oil and natural gas production in New Mexico!,SA,PA,,,SA
"Email the Board of Supervisors to vote NO on the General Plan Sept. 1st. If the plan passes, Ventura will be forced to import foreign oil that is not produced at the same stringent environmental, labor and safety standards.",SA,,,,SA
We produce our oil and natural gas in the U.S. in a much cleaner fashion than any other major exporter in the world. - U.S. EPA Administrator Wheeler,SA,,,,SA
Shutting down local oil and gas production puts thousands of good-paying California jobs at risk.,CB,SA,,,SA
Restricting local oil & gas production would force us to import more oil from foreign countries to meet our needs and increase our gas prices.,SA,PA,,,SA
"The oil industry has shaped Alaskas past, and is critical to our future.",SA,,,,SA
"This is Nancy, Executive Vice President of Hunter Truck, making connections right here in Moon Township. SOAE2020 EnergyForProgress",CA,PA,SA,,SA
"Thanks to new technology and American innovation, the U.S. is less reliant on foreign energy now than at any other time in the 20th century. Read more.",SA,,,,SA
"Texas knows energy, and the energy Texas produces is one of the main reasons America is 1 in the world in oil production. Texas oil strengthens American energy independence.",SA,,,,SA
"Most pipeline projects go above and beyond the minimum safety and construction requirements, according to the Permian Basin Association of Pipeliners. Read more about how pipelines contribute to our nations self-reliance in the energy field.",PA,SA,,,SA
Limiting Texas oil and natural gas means other nations will provide the energy the world needs. Keeping Texas strong keeps America strong. Tell the RRC to say no to production quotas!,SA,,,,SA
"You'd be hard pressed to find a story more dynamic, inspirational and impressive than the story of the Texas oil and natural gas industry over the past 100 years.",SA,,,,SA
"Banning fracking, the technology most responsible for U.S. energy leadership and emissions reductions, would negatively impact our economy and our national security.",SA,GC,CA,,SA
"Natural gas and oil power Americas 21st-century economy, strengthen our nations security and support U.S. global leadership in reducing greenhouse gases. EnergyForProgress",CA,SA,,,SA
"Texas oil and natural gas delivers energy independence, economic strength and high-paying jobs. The Green New Deal would put Texans out of work.",CA,CB,SA,,SA
"85 percent of voters agree that oil and natural gas provide a value to their life, according to a new poll.",SA,,,,SA
The Pennsylvania shale energy industry has worked tirelessly to help our nation become energy independent and we need political leaders who are all in and passionately embrace and support this effort.,SA,,,,SA
"Did you know that Eddy, Lea, Chaves and Roosevelt counties are producing more than 20 percent of the Permian Basins total oil output?",SA,,,,SA
"The Permian Basin is an absolute powerhouse in oil production, accounting for more than 60% of the nations drilling activity with more than 400 active rigs!",SA,,,,SA
"Environmental Engineer, Astrid knows California has the strictest environmental regulations in the world. Shutting down local oil & gas production would force us to import foreign oil that is not produced with our same standards.",SA,,,,SA
Increased natural gas production in the U.S. has given American families and businesses some of the lowest prices in the world.,PA,SA,,,SA
"The fact that Ohio is once again a booming energy state, they have the important resources for not only the country, but the world. - EPA Administrator Andrew Wheeler More",SA,,,,SA
"Grit. Determination. That's what built Michigan. The pandemic didn't stop us. We fired up our factories to help the nation fight this virus. We never back down from a challenge. We're resilient, defined by hard work, and doing what it takes to get the job done. Like building best-in-class pipeline infrastructure to bring our state the energy it needs to keep doing, and being our best. Were ready to work. Were ready for economic revival. Were ready to build Line 5.",SA,,,,SA
Local jobs are more important than ever. CA's oil & gas jobs help fuel the economy during this uncertain time.,CB,SA,,,SA
Many countries at the forefront of global energy production dont want America to be energy independent and will do anything to stop it. SupportEnergyIndependence,SA,,,,SA
Limiting Texas oil and natural gas means other nations will provide the energy the world needs. Keeping Texas strong keeps America strong. Say no to restricting Texas energy with production quotas.,SA,,,,SA
"This is Jim, a Director at Red Wing Shoes, a company that has been providing shoes to citizens, soldiers, and everyone in-between since 1905. Today Jim is using natural gas and oil to preserve a local brand with global scale. EnergyForProgress",SA,,,,SA
"With this kind of steady, upward movement were entering a new era in southeast New Mexico and the Permian, where production will remain at record highs as long policy remains stable -NMOGA Executive Director Ryan Flynn",SA,,,,SA
"Natural gas provides reliable, cleaner and affordable fuel to generate electricity. In fact, its the primary reason the U.S. has reduced carbon dioxide emissions more than any other nation since 2000. EnergyConversations",GC,PA,SA,,SA
"Banning fracking, the technology most responsible for U.S. energy leadership and emissions reductions and by promoting policies that would cost communities across the U.S. jobs and impact our national security. SOAE2020 EnergyForProgress",SA,GC,CB,,SA
"New Mexico produced an average of 27 million barrels a month from Jan-Nov 2019, up 33% from the same period the year before.",SA,,,,SA
"As a top natural gas and oil producer, Ohio knows what it takes to power daily life. Find out how Ohio natural gas & oil moves us all forward. EssentialOhioEnergy",SA,PA,,,SA
"With a population of nearly 13 million people, the state of Illinois is an important economic hub in the Midwest. But what most residents dont realize is that Illinois plays a critical role in our nations energy security. Illinois leads the Midwest in refining capacity and is home to the Patoka Terminal, one of the busiest crude oil storage hubs in the region. The Patoka Terminal is a crossroads for pipelines in southern Illinois where crude oil is stored and then delivered to refineries where it is transformed into gasoline, propane, and other usable energy by-products.",SA,,,,SA
"This is Nancy, Executive Vice President of Hunter Truck, making connections right here in Moon Township. EnergyForProgress",CA,PA,SA,,SA
"California oil and gas workers like Josh value a clean environment, safe working conditions, and protecting human rights. Shutting down existing local production would put his job and thousands more at risk.",CB,SA,,,SA
"Energy infrastructure is essential to growing American energy leadership, keeping energy costs low for working families and promoting economic development. But red tape is stalling infrastructure projects not just in the energy industry, but across the entire U.S. economy.",SA,PA,CA,,SA
"Californias 55,000 oil and gas workers produce energy under the strictest environmental standards in the world. They work hard to produce reliable and affordable energy for all Californians.",CB,SA,PA,,SA
"FACT: We believe that meaningful consultation and ongoing communications with all stakeholders are key to environmentally responsible energy infrastructure. These collaborative relationships enable us to meet our country's energy needs, promote economic prosperity, and foster America's energy independence. To learn more facts visit: DAPL DakotaAccess Pipelines Oil Community Respect SocialResponsibility",PA,SA,CA,,SA
